year_month,state_clean,district_clean,bio_age_5_17,bio_age_17_,biometric_updates,demo_age_5_17,demo_age_17_,demographic_updates,age_0_5,age_5_17,age_18_greater,enrolments,total_activity,mean_activity_x,std_activity_x,stress_signal,mean_activity_y,std_activity_y,mean_activity,std_activity
2025-03,andaman and nicobar islands,andamans,16.0,193.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,226.44444444444446,97.6487469339867,-0.17864483664329447,226.44444444444446,97.6487469339867,226.44444444444446,97.6487469339867
2025-03,andaman and nicobar islands,nicobar,178.0,101.0,279.0,16.0,180.0,196.0,0.0,0.0,0.0,0.0,475.0,232.33333333333334,138.79121009631697,1.7484296483780435,232.33333333333334,138.79121009631697,232.33333333333334,138.79121009631697
2025-03,andaman and nicobar islands,north and middle andaman,470.0,347.0,817.0,10.0,201.0,211.0,0.0,0.0,0.0,0.0,1028.0,740.6666666666666,310.6131033939167,0.9250521957824165,740.6666666666666,310.6131033939167,740.6666666666666,310.6131033939167
2025-03,andaman and nicobar islands,south andaman,948.0,450.0,1398.0,74.0,450.0,524.0,0.0,0.0,0.0,0.0,1922.0,1219.0,469.41106718951573,1.4976212729900917,1219.0,469.41106718951573,1219.0,469.41106718951573
2025-03,andhra pradesh,adilabad,897.0,4366.0,5263.0,299.0,3357.0,3656.0,0.0,0.0,0.0,0.0,8919.0,6290.333333333333,2756.818728172021,0.9535145128710263,6290.333333333333,2756.818728172021,6290.333333333333,2756.818728172021
2025-03,andhra pradesh,alluri sitharama raju,585.0,1408.0,1993.0,392.0,3609.0,4001.0,0.0,0.0,0.0,0.0,5994.0,2629.0,1442.4552852688364,2.3328279457708465,2629.0,1442.4552852688364,2629.0,1442.4552852688364
2025-03,andhra pradesh,anakapalli,218.0,234.0,452.0,282.0,2058.0,2340.0,0.0,0.0,0.0,0.0,2792.0,1392.888888888889,796.9514484026685,1.7555788547914086,1392.888888888889,796.9514484026685,1392.888888888889,796.9514484026685
2025-03,andhra pradesh,anantapur,3363.0,6499.0,9862.0,683.0,12994.0,13677.0,0.0,0.0,0.0,0.0,23539.0,12505.111111111111,5677.022336675373,1.9436049806615083,12505.111111111111,5677.022336675373,12505.111111111111,5677.022336675373
2025-03,andhra pradesh,ananthapur,11722.0,2215.0,13937.0,1503.0,5217.0,6720.0,0.0,0.0,0.0,0.0,20657.0,9882.777777777777,6390.710695567782,1.6859192561626337,9882.777777777777,6390.710695567782,9882.777777777777,6390.710695567782
2025-03,andhra pradesh,ananthapuramu,14063.0,2087.0,16150.0,1697.0,5413.0,7110.0,0.0,0.0,0.0,0.0,23260.0,14143.111111111111,8891.222588098393,1.0253807953354546,14143.111111111111,8891.222588098393,14143.111111111111,8891.222588098393
2025-03,andhra pradesh,annamayya,235.0,270.0,505.0,386.0,2379.0,2765.0,0.0,0.0,0.0,0.0,3270.0,3135.0,1602.440248496024,0.08424651098641883,3135.0,1602.440248496024,3135.0,1602.440248496024
2025-03,andhra pradesh,bapatla,114.0,131.0,245.0,180.0,1270.0,1450.0,0.0,0.0,0.0,0.0,1695.0,1346.2222222222222,677.2822118175292,0.5149666884677376,1346.2222222222222,677.2822118175292,1346.2222222222222,677.2822118175292
2025-03,andhra pradesh,chittoor,18773.0,9414.0,28187.0,2798.0,26307.0,29105.0,0.0,0.0,0.0,0.0,57292.0,33997.555555555555,15588.351902230646,1.4943494084907771,33997.555555555555,15588.351902230646,33997.555555555555,15588.351902230646
2025-03,andhra pradesh,cuddapah,11599.0,5222.0,16821.0,1392.0,13352.0,14744.0,0.0,0.0,0.0,0.0,31565.0,20802.777777777777,8435.117289904416,1.2758829370521032,20802.777777777777,8435.117289904416,20802.777777777777,8435.117289904416
2025-03,andhra pradesh,dr b r ambedkar konaseema,116.0,181.0,297.0,181.0,1475.0,1656.0,0.0,0.0,0.0,0.0,1953.0,1452.7777777777778,723.9032700882381,0.6910069934637111,1452.7777777777778,723.9032700882381,1452.7777777777778,723.9032700882381
